date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:28	59006/59006	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202017%2006:48:28%20GMT	http://bucketadmin.themebucket.net/index.html	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/index.html	(from )
09:54:29	8181/8181	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202017%2006:48:28%20GMT	http://bucketadmin.themebucket.net/robots.txt		(from )
09:54:29	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Mar%202018%2003:54:35%20GMT	http://bucketadmin.themebucket.net/images/favicon.png	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/images/favicon.png	(from http://bucketadmin.themebucket.net/index.html)
09:54:30	121200/121200	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202017%2006:48:28%20GMT	http://bucketadmin.themebucket.net/bs3/css/bootstrap.min.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/bs3/css/bootstrap.min.css	(from http://bucketadmin.themebucket.net/index.html)
09:54:30	27013/27013	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202014%2010:51:23%20GMT	http://bucketadmin.themebucket.net/js/jquery-ui/jquery-ui-1.10.1.custom.min.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/js/jquery-ui/jquery-ui-1.10.1.custom.min.css	(from http://bucketadmin.themebucket.net/index.html)
09:54:30	7542/7542	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202017%2006:48:28%20GMT	http://bucketadmin.themebucket.net/css/bootstrap-reset.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/css/bootstrap-reset.css	(from http://bucketadmin.themebucket.net/index.html)
09:54:31	21658/21658	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202014%2010:51:23%20GMT	http://bucketadmin.themebucket.net/font-awesome/css/font-awesome.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/font-awesome/css/font-awesome.css	(from http://bucketadmin.themebucket.net/index.html)
09:54:31	737/737	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202014%2010:51:23%20GMT	http://bucketadmin.themebucket.net/js/jvector-map/jquery-jvectormap-1.2.2.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/js/jvector-map/jquery-jvectormap-1.2.2.css	(from http://bucketadmin.themebucket.net/index.html)
09:54:31	6149/6149	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:31:50%20GMT	http://bucketadmin.themebucket.net/css/clndr.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/css/clndr.css	(from http://bucketadmin.themebucket.net/index.html)
09:54:32	559/559	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202014%2010:51:23%20GMT	http://bucketadmin.themebucket.net/js/css3clock/css/style.css	C:/Users/Anindya/Downloads/bucket%20admin/bucketadmin.themebucket.net/js/css3clock/css/style.css	(from http://bucketadmin.themebucket.net/index.html)
